Country Name,Country Code,Series Name,Series Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Algeria,DZA,Health expenditure per capita (current US$),SH.XPD.PCAP,..,..,..,..,53.87082951,53.4514481,57.94416343,57.08920215,54.28883852,61.30289682,66.508593,66.18230218,75.43769203,92.1539956,100.35610741,116.33972015,150.54703923,206.40840341,207.72120828,228.91595202,286.968847,335.26909118,345.65370409,361.7291743,..
Algeria,DZA,Health expenditure_ total (% of GDP),SH.XPD.TOTL.ZS,..,..,..,..,3.70152453,3.34906968,3.59465773,3.59408178,3.43391495,3.48902094,3.83786516,3.73006375,3.60102674,3.54406326,3.23516801,3.35511843,3.82141191,4.20191141,5.35942501,5.11715468,5.29292834,6.14311272,7.12438268,7.20717804,..
Algeria,DZA,Life expectancy at birth_ male (years),SP.DYN.LE00.MA.IN,65.448,65.697,65.975,66.297,66.664,67.058,67.45,67.819,68.16,68.48,68.792,69.109,69.441,69.787,70.139,70.486,70.813,71.112,71.382,71.626,71.85,72.068,72.287,72.512,..
Algeria,DZA,Life expectancy at birth_ total (years),SP.DYN.LE00.IN,66.9587317073,67.2096829268,67.4754878049,67.7755365854,68.1210731707,68.5092195122,68.9212195122,69.3409512195,69.7629268293,70.183902439,70.6017560976,71.0148536585,71.421,71.8162682927,72.1965609756,72.5577073171,72.8983658537,73.2193170732,73.5210243902,73.8040487805,74.07,74.324097561,74.5689512195,74.808097561,..
Algeria,DZA,Life expectancy at birth_ female (years),SP.DYN.LE00.FE.IN,68.545,68.798,69.051,69.328,69.651,70.033,70.466,70.939,71.446,71.973,72.502,73.016,73.5,73.947,74.357,74.733,75.088,75.432,75.767,76.091,76.401,76.693,76.965,77.219,..
Algeria,DZA,Tuberculosis case detection rate (%_ all forms),SH.TBS.DTEC.ZS,67,65,72,68,66,71,72,64,67,72,68,68,69,68,71,70,69,66,69,71,68,70,67,74,..
Algeria,DZA,Population_ total,SP.POP.TOTL,26554277,27180921,27785977,28362015,28904300,29411839,29887717,30336880,30766551,31183658,31590320,31990387,32394886,32817225,33267887,33749328,34261971,34811059,35401790,36036159,36717132,37439427,38186135,38934334,..
Algeria,DZA,Population growth (annual %),SP.POP.GROW,2.4470597677,2.3324466366,2.2016175613,2.0519280944,1.8939623062,1.7406907385,1.6050312956,1.4916540772,1.4063959263,1.3466082189,1.2956569008,1.2584706868,1.2565119415,1.2952959151,1.3639047358,1.4367928666,1.507551588,1.5899101764,1.682726018,1.7760467201,1.8720607093,1.9480888878,1.9748144607,1.9403991838,..
Algeria,DZA,Physicians (per 1_000 people),SH.MED.PHYS.ZS,..,..,0.82099998,..,0.846,..,..,1,..,..,..,1.131,..,..,1.033,..,1.207,..,..,1.207,..,..,..,..,..
Algeria,DZA,Improved water source (% of population with access),SH.H2O.SAFE.ZS,91.6,91.7,91.8,91.5,91.2,90.9,90.5,90.2,89.9,89.5,89.2,88.8,88.5,88.1,87.7,87.4,87,86.6,86.2,85.7,85.3,84.9,84.5,84,83.6
Algeria,DZA,Immunization_ measles (% of children ages 12-23 months),SH.IMM.MEAS,85,86,87,88,89,90,92,84,83,80,83,81,84,81,83,91,92,88,92,95,95,95,95,95,..
Algeria,DZA,Health expenditure per capita_ PPP (constant 2011 international $),SH.XPD.PCAP.PP.KD,..,..,..,..,252.76942406,236.52961023,256.90335228,268.85153941,265.38824248,278.0811557,323.07174002,332.46065159,346.54772529,360.8093318,355.14001347,380.56748693,453.2422424,510.13441542,654.9774122,644.2558833,686.21865915,821.33888535,858.86035635,932.10028378,..
American Samoa,ASM,Birth rate_ crude (per 1_000 people),SP.DYN.CBRT.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.6,..,..,..,18.7,..,..,..,..,..
American Samoa,ASM,Health expenditure per capita (current US$),SH.XPD.PCAP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Health expenditure_ total (% of GDP),SH.XPD.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Life expectancy at birth_ male (years),SP.DYN.LE00.MA.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Life expectancy at birth_ total (years),SP.DYN.LE00.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Life expectancy at birth_ female (years),SP.DYN.LE00.FE.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Tuberculosis case detection rate (%_ all forms),SH.TBS.DTEC.ZS,75,21,75,75,..,0,75,75,75,75,76,48,77,78,80,82,84,87,90,92,70,..,..,..,..
American Samoa,ASM,Population_ total,SP.POP.TOTL,48379,49597,50725,51807,52874,53926,54942,55899,56768,57522,58176,58729,59117,59262,59117,58648,57904,57031,56226,55636,55316,55227,55302,55434,..
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,2.7982501281,2.4864512761,2.2488537681,2.1106389559,2.0386449387,1.970101172,1.8665346976,1.726840756,1.5426295774,1.3194696636,1.1305415232,0.9460743761,0.6584888787,0.2449760051,-0.2449760051,-0.7965057182,-1.27670071,-1.5191487176,-1.4215696276,-1.0548809625,-0.5768276142,-0.161023347,0.1357110107,0.2384049677,..
American Samoa,ASM,Physicians (per 1_000 people),SH.MED.PHYS.ZS,..,..,..,..,..,..,..,..,0.781,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Improved water source (% of population with access),SH.H2O.SAFE.ZS,94,94.4,94.8,95.3,95.7,96.1,96.5,96.9,97.4,97.8,98.2,98.6,99,99.4,99.9,100,100,100,100,100,100,100,100,100,100
American Samoa,ASM,Immunization_ measles (% of children ages 12-23 months),SH.IMM.MEAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Health expenditure per capita_ PPP (constant 2011 international $),SH.XPD.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,ADO,Birth rate_ crude (per 1_000 people),SP.DYN.CBRT.IN,11.9,12.1,11.4,10.9,11,10.9,11.2,11.9,12.6,11.3,11.8,11.2,10.3,10.9,10.7,10.6,10.1,10.4,9.9,9.8,..,9.5,..,..,..
Andorra,ADO,Health expenditure per capita (current US$),SH.XPD.PCAP,..,..,..,..,1282.52258662,1386.66114884,1395.5214956,1831.20946786,1369.1612816,1242.21097786,1268.63334966,1450.79647062,1827.84175497,2127.73674755,2089.66776214,2256.10300159,2997.57274716,3081.87021953,2897.93204128,3173.99169088,2794.50281318,2993.7301066,4914.39117816,3746.33415672,..
Andorra,ADO,Health expenditure_ total (% of GDP),SH.XPD.TOTL.ZS,..,..,..,..,5.80799984,6.09433321,6.14492202,7.75592576,5.72830824,5.78129974,5.78874692,5.97260274,5.74503291,5.70388241,5.22335314,5.31389324,6.33545578,6.5674086,6.75968963,7.99926652,6.70379149,7.54733741,11.4780464,8.12713561,..
Andorra,ADO,Life expectancy at birth_ male (years),SP.DYN.LE00.MA.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,ADO,Life expectancy at birth_ total (years),SP.DYN.LE00.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,ADO,Life expectancy at birth_ female (years),SP.DYN.LE00.FE.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,ADO,Tuberculosis case detection rate (%_ all forms),SH.TBS.DTEC.ZS,93,84,63,110,..,89,110,54,76,100,93,50,110,72,100,130,58,49,100,95,42,130,74,89,..
Andorra,ADO,Population_ total,SP.POP.TOTL,56674,58904,61003,62707,63854,64291,64147,63888,64161,65399,67770,71046,74783,78337,81223,83373,84878,85616,85474,84419,82326,79316,75902,72786,..
Andorra,ADO,Population growth (annual %),SP.POP.GROW,3.8913035608,3.8593448293,3.5014043225,2.7550040859,1.8126143194,0.6820425206,-0.2242327977,-0.4045774254,0.4263999151,1.9111418355,3.5612651322,4.7207935429,5.1263031846,4.6429446468,3.61784254,2.6126057651,1.7890415409,0.8657250218,-0.1659945439,-1.241974138,-2.5105519583,-3.7247101431,-4.3996839221,-4.1919405499,..
Andorra,ADO,Physicians (per 1_000 people),SH.MED.PHYS.ZS,..,..,..,..,2.231,..,2.435,2.47,2.594,2.549,2.594,..,3.697,..,..,3.64,3.716,..,3.912,4,..,..,..,..,..
Andorra,ADO,Improved water source (% of population with access),SH.H2O.SAFE.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Andorra,ADO,Immunization_ measles (% of children ages 12-23 months),SH.IMM.MEAS,..,..,..,..,..,..,90,90,97,97,97,98,96,98,94,91,94,98,98,99,99,98,95,96,..
Andorra,ADO,Health expenditure per capita_ PPP (constant 2011 international $),SH.XPD.PCAP.PP.KD,..,..,..,..,1380.96974291,1516.85322338,1709.12618725,2268.66506296,1759.84113771,1842.38606265,1914.26486247,2101.66748998,2154.41614853,2250.64154126,2210.09861475,2428.05463576,2996.34086795,2910.22716981,2926.50320225,3325.19712837,2788.29280693,3426.50020877,5564.65077196,4272.52381782,..
Angola,AGO,Birth rate_ crude (per 1_000 people),SP.DYN.CBRT.IN,52.585,52.475,52.357,52.227,52.081,51.914,51.723,51.508,51.268,51.009,50.739,50.463,50.182,49.895,49.592,49.259,48.888,48.473,48.018,47.529,47.018,46.499,45.985,45.483,..
Angola,AGO,Health expenditure per capita (current US$),SH.XPD.PCAP,..,..,..,..,18.00618425,13.75622193,19.27911944,15.14206043,14.23259059,16.8991726,30.91774474,28.19059742,37.44842882,53.4564375,64.68519176,102.37922537,106.60251904,163.11605053,160.83547792,131.79621085,160.36072269,168.02721742,225.73659246,179.35785371,..
Angola,AGO,Health expenditure_ total (% of GDP),SH.XPD.TOTL.ZS,..,..,..,..,6.45887795,2.81473208,3.4825593,3.33560211,3.37784418,2.78728366,5.38455772,3.63392075,4.40528442,4.70732007,4.10396002,4.54243749,3.38311163,3.84493395,4.37177378,3.39114609,3.3795827,3.30479422,4.26303169,3.30698293,..
Angola,AGO,Life expectancy at birth_ male (years),SP.DYN.LE00.MA.IN,39.26,39.414,39.646,39.966,40.39,40.927,41.567,42.285,43.059,43.856,44.639,45.381,46.06,46.664,47.191,47.649,48.065,48.463,48.852,49.241,49.632,50.024,50.413,50.802,..
Angola,AGO,Life expectancy at birth_ total (years),SP.DYN.LE00.IN,41.2063414634,41.3130243902,41.478195122,41.7162439024,42.0514634146,42.5016341463,43.0621219512,43.7142682927,44.439,45.2047804878,45.9731463415,46.7117317073,47.3931707317,48.0035121951,48.538804878,49.0070487805,49.4357317073,49.8473902439,50.2510243902,50.6541707317,51.0593170732,51.464,51.8661707317,52.2668780488,..
Angola,AGO,Life expectancy at birth_ female (years),SP.DYN.LE00.FE.IN,43.25,43.307,43.402,43.554,43.796,44.155,44.632,45.215,45.888,46.621,47.374,48.109,48.793,49.41,49.954,50.433,50.875,51.301,51.72,52.138,52.558,52.976,53.392,53.805,..
Angola,AGO,Tuberculosis case detection rate (%_ all forms),SH.TBS.DTEC.ZS,38,37,26,22,15,43,40,36,34,36,45,58,65,58,56,72,57,59,52,55,56,60,66,60,..
Angola,AGO,Population_ total,SP.POP.TOTL,11472173,11848971,12246786,12648483,13042666,13424813,13801868,14187710,14601983,15058638,15562791,16109696,16691395,17295500,17912942,18541467,19183907,19842251,20520103,21219954,21942296,22685632,23448202,24227524,..
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.0471591629,3.2316664429,3.3022506852,3.2273751814,3.0688696421,2.8878727607,2.769923426,2.7572151573,2.8781244515,3.0794438626,3.293109281,3.4538453899,3.5471990421,3.5553034896,3.5077116295,3.4486214865,3.4062067263,3.3741802599,3.3591486701,3.3536925634,3.3474132997,3.3315674133,3.3062045632,3.2695524057,..
Angola,AGO,Physicians (per 1_000 people),SH.MED.PHYS.ZS,..,..,..,..,..,..,0.077,..,..,..,..,..,..,0.083,..,..,..,..,0.166,..,..,..,..,..,..
Angola,AGO,Improved water source (% of population with access),SH.H2O.SAFE.ZS,45.8,45.8,45.9,46.3,46.1,45.9,45.8,45.7,45.7,45.7,45.7,45.7,45.8,45.9,46,46.2,46.4,46.6,46.9,47.1,47.5,47.8,48.2,48.6,49
Angola,AGO,Immunization_ measles (% of children ages 12-23 months),SH.IMM.MEAS,39,39,47,44,46,62,78,62,46,41,72,74,62,64,45,48,88,79,77,93,88,97,91,85,..
Angola,AGO,Health expenditure per capita_ PPP (constant 2011 international $),SH.XPD.PCAP.PP.KD,..,..,..,..,91.4636206,60.22757641,79.03869714,79.53522966,82.08157415,69.20173589,137.88117252,103.88967134,130.48368471,153.300672,157.52116297,209.61483939,189.90186908,242.15426374,274.73451017,215.70576571,220.50028242,223.24452883,301.98914889,239.01023293,..
Antigua and Barbuda,ATG,Birth rate_ crude (per 1_000 people),SP.DYN.CBRT.IN,18.879,19.047,19.274,19.54,19.816,20.064,20.251,20.352,20.351,20.24,20.022,19.724,19.374,18.992,18.599,18.214,17.849,17.514,17.218,16.968,16.763,16.594,16.447,16.319,..
Antigua and Barbuda,ATG,Health expenditure per capita (current US$),SH.XPD.PCAP,..,..,..,..,353.19289801,356.41139064,373.27456563,386.62789176,400.73519335,416.41326943,439.38001025,442.60837448,470.78383885,462.48912816,532.73416909,590.23941594,652.2483176,740.68854173,679.68040921,732.68117568,724.01950759,728.48132414,711.43035589,773.71224648,..
Antigua and Barbuda,ATG,Health expenditure_ total (% of GDP),SH.XPD.TOTL.ZS,..,..,..,..,4.1436129,3.92096985,3.93930715,3.92020732,3.96104693,4.12504853,4.48439049,4.41378705,4.53434099,4.20698542,4.41010035,4.34002161,4.26972324,4.69201433,4.86206202,5.6285144,5.64852918,5.38593825,5.33222783,5.54168311,..
Antigua and Barbuda,ATG,Life expectancy at birth_ male (years),SP.DYN.LE00.MA.IN,68.904,69.143,69.38,69.613,69.845,70.073,70.3,70.525,70.747,70.969,71.191,71.413,71.633,71.852,72.063,72.264,72.452,72.626,72.788,72.94,73.087,73.234,73.385,73.543,..
Antigua and Barbuda,ATG,Life expectancy at birth_ total (years),SP.DYN.LE00.IN,71.4005853659,71.6347073171,71.8658536585,72.093,72.3176829268,72.5388536585,72.7575609756,72.9737804878,73.1860243902,73.3972926829,73.607097561,73.8154390244,74.0217804878,74.2261463415,74.4254390244,74.6181463415,74.8032195122,74.9791707317,75.1470243902,75.3087804878,75.4660243902,75.621804878,75.7786585366,75.9376341463,..
Antigua and Barbuda,ATG,Life expectancy at birth_ female (years),SP.DYN.LE00.FE.IN,74.022,74.251,74.476,74.697,74.914,75.128,75.338,75.545,75.747,75.947,76.144,76.338,76.53,76.719,76.906,77.09,77.272,77.45,77.624,77.796,77.964,78.129,78.292,78.452,..
Antigua and Barbuda,ATG,Tuberculosis case detection rate (%_ all forms),SH.TBS.DTEC.ZS,0,230,..,..,0,86,120,120,91,120,28,110,28,..,170,110,50,23,64,140,110,51,160,44,..
Antigua and Barbuda,ATG,Population_ total,SP.POP.TOTL,62412,63434,64868,66550,68349,70245,72232,74206,76041,77648,78972,80030,80904,81718,82565,83467,84397,85350,86300,87233,88152,89069,89985,90900,..
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,0.8140459053,1.6242430721,2.2354440557,2.5599108984,2.6673387644,2.7362198819,2.7894029702,2.6961848433,2.4427659069,2.0913124156,1.6907566599,1.3308205117,1.0861702221,1.0011029237,1.0311566078,1.0865482245,1.1080511786,1.1228593294,1.1069148849,1.0753101602,1.0479897494,1.0348753071,1.0231639517,1.011701141,..
Antigua and Barbuda,ATG,Physicians (per 1_000 people),SH.MED.PHYS.ZS,0.9185000062,..,3.030299902,..,0.76,1.141,..,..,0.169,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Improved water source (% of population with access),SH.H2O.SAFE.ZS,97.5,97.5,97.5,97.5,97.6,97.6,97.6,97.6,97.7,97.7,97.7,97.7,97.8,97.8,97.8,97.8,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9
Antigua and Barbuda,ATG,Immunization_ measles (% of children ages 12-23 months),SH.IMM.MEAS,87,99,99,91,93,99,93,99,99,95,97,99,99,97,99,99,99,99,99,98,99,98,98,98,..
Antigua and Barbuda,ATG,Health expenditure per capita_ PPP (constant 2011 international $),SH.XPD.PCAP.PP.KD,..,..,..,..,611.42130572,612.48490489,638.55607768,652.80500955,680.38248392,631.65013611,668.49262424,678.51311321,744.85269878,740.17131749,840.87680842,956.58112778,1046.25035178,1160.01047986,1053.67572448,1134.21937089,1129.02372817,1128.17637168,1121.22875122,1208.07584636,..
Arab World,ARB,Birth rate_ crude (per 1_000 people),SP.DYN.CBRT.IN,34.32002258,33.6091058133,32.7629990707,31.9293540669,31.0631464316,30.3571667286,29.7239414984,29.1459160645,28.6400208877,28.2567820987,27.9372387317,27.6907471319,27.5211302815,27.3784456681,27.3022291846,27.2701764114,27.2876743049,27.3196175232,27.368895305,27.4203345567,27.3910411234,27.284322402,27.0632593121,26.735865437,..
Arab World,ARB,Health expenditure per capita (current US$),SH.XPD.PCAP,..,..,..,..,85.7236928897,84.1069425698,89.9560823112,91.8194587429,99.3299092369,105.9774353846,108.3015317555,109.0229887545,113.8894100966,126.0494881314,138.7627952772,159.4398965965,186.1880763919,220.9991393993,241.7950604587,249.3544790682,283.388306223,324.6428394336,339.3629688872,352.9283486467,..
Arab World,ARB,Health expenditure_ total (% of GDP),SH.XPD.TOTL.ZS,..,..,..,..,3.7009713803,3.6925805375,3.8629561456,4.1761455586,4.278583033,4.1196252256,4.3905881002,4.4128335783,4.1989767717,3.9346086882,3.572005473,3.5221807536,3.622538614,3.5332539541,4.5720108312,4.1620959228,4.0943811007,4.3835910069,4.6452573827,4.8468021416,..
Arab World,ARB,Life expectancy at birth_ male (years),SP.DYN.LE00.MA.IN,63.0605907556,63.31044618,63.6270649788,63.9644753151,64.3720211345,64.7114538618,65.0412881873,65.3408219178,65.6255423843,65.875510057,66.1092490862,66.3304284835,66.5448814014,66.7672679103,66.9889441625,67.2155409491,67.4403793191,67.6460274692,67.8386380566,68.0246880189,68.1797477149,68.3414607056,68.5120908323,68.6869288312,..
Arab World,ARB,Life expectancy at birth_ total (years),SP.DYN.LE00.IN,64.7963732361,65.0695606817,65.3991425122,65.744189754,66.1434614875,66.4845425434,66.8162390211,67.1172733135,67.4031392417,67.6518680991,67.8856159493,68.1039853524,68.315172537,68.5342447541,68.7544878625,68.9832573499,69.2058839945,69.4147185421,69.6151940874,69.8081766775,69.9848976064,70.1586597169,70.3448757182,70.5332693097,..
